number,meters
250001115791,13.4
250001115792,13.4
250001115793,6.4
250001115794,12.8
250001115795,12.8
250001115800,12.8
250001115801,12.8
250001115802,13.4
250001115803,12.8
250001115808,6.4
250001115809,8.7
250001115811,6.4
250001115812,9
250001115813,13.4
250001115817,12.8
250001115818,12.8
250001115819,12.8
250001115820,12.8
250001115821,12.8
250001115822,6.4
250001115824,13.1
250001115825,13.4
250001115827,13.4
250001115828,12.8
250001115830,4.27
250001115831,3.07
250001115832,6.54
250001115833,8.5
250001115834,12.8
250001115835,4
250001115836,12.8
250001115837,12.8
250001115839,13.4
250001115840,12.8
250001115842,10
250001115846,12.8
250001115847,12.8
250001115848,12.8
250001115849,12.8
250001115850,2.15
250001115851,13.6
250001115852,13.4
250001115853,2.75
250001115854,12.8
250001115855,13.4
250001115856,13.4
250001115857,12.4
250001115858,11.51
250001115859,12.8
250001115860,4
250001115861,10.72
250001115862,8.14
250001115863,3.3
250001115864,3.9
250001115867,12.8
250001115870,8
250001115871,12.8
250001115872,13.4
250001115873,12.8
250001115874,12.8
250001115876,13.4
250001115877,6
250001115878,10
250001115879,3.64
250001115880,6.8
250001115881,12.8
250001115882,13.4
250001115883,7.8
250001115888,2.8
250001115889,3.8
250001115891,7.7
250001115896,0.3
250001115897,12.8
250001115898,0.2
250001115899,0.5
250001115900,1
250001115901,5.5
250001115902,5.5
250001115903,13.4
250001115904,6.7
250001115905,11.5
250001115906,6.5
250001115910,3.2
250001115911,3.2
250001115912,0
250001115914,6
250001115915,3.35
250001115916,4.2
250001115919,3.3
250001115920,2.5
250001115921,0.2
250001115922,4
250001115923,4.47
250001115924,12.8
250001115925,6.4
250001115926,8.9
250001115927,6.5
250001115929,6.4
250001115930,2.33
250001115931,12.8
250001115935,0
250001115936,12
250001115937,3
250001115938,3.2
250001115942,3.2
250001115943,0.1
250001115944,12.8
250001115947,12.8
250001115948,12.8
250001115950,1
250001115951,12.8
250001115957,12.8
250001115958,12.9
250001115959,6.4
250001115961,12.8
250001115962,6
250001115969,13.4
250001115971,6.7
250001115972,13.4
250001115974,9.6
250001115975,9.6
250001115977,10.88
250001115979,12.8
250001115981,12.3
250001115982,12.8
250001115983,0.8
250001115984,4.1
250001115985,13.6
250001115986,13.4
250001115987,12.8
250001115988,10.9
250001115989,10
250001115990,9.03
250001115992,6.7
250001115993,2.13
250001115994,12.8
250001115995,12.8
250001115997,12.8
250001115998,8.4
250001116001,5.57
250001116003,6.08
250001116004,6.7
250001116006,12
250001116007,9.31
250001116008,1
250001116009,9.31
250001116010,3.2
